"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Apr-2025","EQ","1,410.00","1,471.80","1,410.00","1,419.50","1,449.00","1,451.00","1,452.45","2,006.45","1,307.00","1,56,48,970","22,72,93,78,761.10","2,71,048"
"17-Apr-2025","EQ","1,398.00","1,429.80","1,378.30","1,413.10","1,427.70","1,419.50","1,400.17","2,006.45","1,307.00","1,42,64,227","19,97,23,55,994.00","3,49,779"
"16-Apr-2025","EQ","1,425.00","1,427.50","1,396.80","1,426.00","1,412.20","1,413.10","1,409.87","2,006.45","1,307.00","1,20,22,740","16,95,05,24,011.30","3,31,555"
"15-Apr-2025","EQ","1,445.60","1,447.70","1,409.00","1,409.45","1,430.40","1,426.00","1,424.37","2,006.45","1,307.00","1,01,78,530","14,49,79,63,348.80","2,58,203"
"11-Apr-2025","EQ","1,411.25","1,438.80","1,397.05","1,403.70","1,416.80","1,409.45","1,418.10","2,006.45","1,307.00","1,25,67,440","17,82,18,40,695.45","2,62,867"
"09-Apr-2025","EQ","1,405.05","1,409.45","1,381.90","1,428.80","1,402.00","1,403.70","1,396.23","2,006.45","1,307.00","85,46,854","11,93,33,54,452.15","2,20,436"
"08-Apr-2025","EQ","1,431.00","1,456.50","1,415.00","1,396.75","1,428.00","1,428.80","1,435.73","2,006.45","1,307.00","1,28,05,001","18,38,44,91,521.00","2,54,762"
"07-Apr-2025","EQ","1,352.00","1,405.90","1,307.00","1,451.65","1,404.90","1,396.75","1,365.23","2,006.45","1,307.00","2,17,15,252","29,64,62,33,824.90","4,45,720"
"04-Apr-2025","EQ","1,460.50","1,472.00","1,448.00","1,496.50","1,456.10","1,451.65","1,458.65","2,006.45","1,358.35","95,90,254","13,98,88,55,633.45","2,45,192"
"03-Apr-2025","EQ","1,534.65","1,534.65","1,485.05","1,550.15","1,495.80","1,496.50","1,499.79","2,006.45","1,358.35","1,04,59,504","15,68,70,69,999.20","3,90,507"
"02-Apr-2025","EQ","1,535.20","1,555.65","1,535.20","1,526.50","1,550.00","1,550.15","1,547.09","2,006.45","1,358.35","61,93,478","9,58,18,59,877.35","1,83,381"
"01-Apr-2025","EQ","1,539.25","1,547.40","1,517.85","1,570.65","1,530.20","1,526.50","1,529.41","2,006.45","1,358.35","1,26,80,733","19,39,40,47,386.75","3,28,764"
"28-Mar-2025","EQ","1,590.00","1,598.45","1,560.00","1,603.55","1,569.00","1,570.65","1,576.42","2,006.45","1,358.35","67,99,047","10,71,81,60,396.85","2,17,515"
"27-Mar-2025","EQ","1,595.55","1,619.95","1,586.00","1,599.45","1,605.00","1,603.55","1,601.41","2,006.45","1,358.35","94,26,573","15,09,58,08,795.90","2,01,020"
"26-Mar-2025","EQ","1,626.00","1,637.75","1,595.00","1,628.45","1,599.00","1,599.45","1,610.78","2,006.45","1,358.35","66,51,302","10,71,37,71,940.10","2,22,554"
"25-Mar-2025","EQ","1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112"
"24-Mar-2025","EQ","1,597.95","1,607.10","1,572.70","1,592.55","1,593.95","1,592.75","1,588.76","2,006.45","1,358.35","88,57,726","14,07,28,23,625.15","2,50,512"
"21-Mar-2025","EQ","1,577.95","1,603.90","1,563.65","1,615.55","1,595.40","1,592.55","1,591.34","2,006.45","1,358.35","1,00,74,677","16,03,22,62,527.35","2,41,185"
"20-Mar-2025","EQ","1,592.00","1,631.90","1,592.00","1,586.55","1,609.05","1,615.55","1,616.31","2,006.45","1,358.35","71,86,750","11,61,60,04,800.30","2,29,276"
"19-Mar-2025","EQ","1,603.00","1,603.00","1,572.80","1,609.35","1,589.10","1,586.55","1,583.14","2,006.45","1,358.35","73,87,068","11,69,47,51,809.10","2,50,311"
"18-Mar-2025","EQ","1,597.65","1,612.90","1,582.35","1,590.05","1,608.20","1,609.35","1,602.43","2,006.45","1,358.35","62,98,054","10,09,21,66,910.70","1,57,097"
"17-Mar-2025","EQ","1,545.15","1,594.00","1,545.15","1,579.85","1,590.00","1,590.05","1,581.70","2,006.45","1,358.35","75,26,032","11,90,39,59,172.65","2,20,262"
"13-Mar-2025","EQ","1,599.25","1,606.05","1,570.30","1,590.85","1,579.00","1,579.85","1,582.31","2,006.45","1,358.35","78,22,888","12,37,82,47,563.85","2,58,464"
"12-Mar-2025","EQ","1,636.90","1,636.90","1,563.80","1,661.60","1,590.05","1,590.85","1,586.51","2,006.45","1,358.35","1,48,70,008","23,59,13,64,599.50","4,91,121"
"11-Mar-2025","EQ","1,680.00","1,680.00","1,637.05","1,701.45","1,667.00","1,661.60","1,655.07","2,006.45","1,358.35","1,26,71,234","20,97,17,94,102.35","2,59,181"
"10-Mar-2025","EQ","1,686.00","1,719.00","1,676.20","1,686.00","1,700.05","1,701.45","1,703.14","2,006.45","1,358.35","75,58,981","12,87,40,09,178.00","1,84,536"
"07-Mar-2025","EQ","1,703.10","1,705.00","1,675.50","1,715.85","1,685.00","1,686.00","1,686.32","2,006.45","1,358.35","80,19,331","13,52,31,83,544.05","2,34,031"
"06-Mar-2025","EQ","1,715.00","1,722.30","1,691.10","1,711.50","1,712.00","1,715.85","1,709.66","2,006.45","1,358.35","1,06,10,547","18,14,03,99,842.70","2,36,281"
"05-Mar-2025","EQ","1,692.45","1,732.95","1,692.45","1,688.30","1,707.00","1,711.50","1,714.51","2,006.45","1,358.35","81,80,782","14,02,60,24,448.60","1,84,308"
"04-Mar-2025","EQ","1,695.00","1,699.00","1,670.00","1,708.60","1,684.00","1,688.30","1,686.14","2,006.45","1,358.35","67,59,673","11,39,77,44,323.60","2,44,487"
"03-Mar-2025","EQ","1,692.30","1,728.60","1,692.30","1,687.70","1,711.00","1,708.60","1,711.06","2,006.45","1,358.35","75,04,969","12,84,14,55,573.45","2,86,660"
"28-Feb-2025","EQ","1,755.05","1,755.10","1,682.45","1,764.30","1,693.00","1,687.70","1,694.54","2,006.45","1,358.35","1,21,82,167","20,64,31,37,452.85","4,60,200"
"27-Feb-2025","EQ","1,755.20","1,775.85","1,751.10","1,767.70","1,763.00","1,764.30","1,763.43","2,006.45","1,358.35","57,57,079","10,15,21,84,052.30","1,68,385"
"25-Feb-2025","EQ","1,745.15","1,778.45","1,745.15","1,764.10","1,766.75","1,767.70","1,766.12","2,006.45","1,358.35","50,92,963","8,99,47,61,660.15","1,92,822"
"24-Feb-2025","EQ","1,800.05","1,808.00","1,750.25","1,815.00","1,763.00","1,764.10","1,766.73","2,006.45","1,358.35","75,94,720","13,41,78,27,673.25","3,62,392"
"21-Feb-2025","EQ","1,821.80","1,829.85","1,806.20","1,825.15","1,815.00","1,815.00","1,817.56","2,006.45","1,358.35","33,79,879","6,14,31,29,066.35","1,01,664"
"20-Feb-2025","EQ","1,805.55","1,831.00","1,805.55","1,810.80","1,826.00","1,825.15","1,822.29","2,006.45","1,358.35","22,18,020","4,04,18,74,473.40","1,16,360"
"19-Feb-2025","EQ","1,847.40","1,849.20","1,805.90","1,851.95","1,810.85","1,810.80","1,820.83","2,006.45","1,358.35","46,11,411","8,39,65,92,012.20","2,14,412"
"18-Feb-2025","EQ","1,842.30","1,861.65","1,837.60","1,842.30","1,848.00","1,851.95","1,848.81","2,006.45","1,358.35","43,65,260","8,07,05,46,827.05","1,00,362"
"17-Feb-2025","EQ","1,838.55","1,852.75","1,822.15","1,856.40","1,843.05","1,842.30","1,838.63","2,006.45","1,358.35","44,28,956","8,14,32,13,452.30","1,49,656"
"14-Feb-2025","EQ","1,854.00","1,859.30","1,828.35","1,843.25","1,853.00","1,856.40","1,845.06","2,006.45","1,358.35","52,92,961","9,76,58,18,737.55","1,79,989"
"13-Feb-2025","EQ","1,868.50","1,873.50","1,835.65","1,863.15","1,840.65","1,843.25","1,851.21","2,006.45","1,358.35","52,37,744","9,69,61,50,378.65","1,92,119"
"12-Feb-2025","EQ","1,885.00","1,894.60","1,847.00","1,875.65","1,864.00","1,863.15","1,866.72","2,006.45","1,358.35","56,33,947","10,51,69,84,029.10","2,22,006"
"11-Feb-2025","EQ","1,883.10","1,903.00","1,870.00","1,880.30","1,879.00","1,875.65","1,883.68","2,006.45","1,358.35","44,11,601","8,31,00,66,406.30","1,60,934"
"10-Feb-2025","EQ","1,905.00","1,905.00","1,878.60","1,903.65","1,880.00","1,880.30","1,885.89","2,006.45","1,358.35","38,28,734","7,22,05,70,924.25","1,51,607"
"07-Feb-2025","EQ","1,919.30","1,923.70","1,889.45","1,915.65","1,901.10","1,903.65","1,902.44","2,006.45","1,358.35","41,26,260","7,84,99,62,358.05","1,55,494"
"06-Feb-2025","EQ","1,917.00","1,924.00","1,900.00","1,897.05","1,913.75","1,915.65","1,910.66","2,006.45","1,358.35","47,65,255","9,10,47,91,357.40","1,51,924"
"05-Feb-2025","EQ","1,906.00","1,919.70","1,894.30","1,898.80","1,899.15","1,897.05","1,901.79","2,006.45","1,358.35","49,96,744","9,50,27,54,311.35","1,70,651"
"04-Feb-2025","EQ","1,889.00","1,911.20","1,875.00","1,863.30","1,894.85","1,898.80","1,892.32","2,006.45","1,358.35","73,34,787","13,87,97,56,408.55","2,54,137"
"03-Feb-2025","EQ","1,836.00","1,876.55","1,832.40","1,851.35","1,864.10","1,863.30","1,858.62","2,006.45","1,358.35","48,23,228","8,96,45,53,565.40","1,77,156"
"01-Feb-2025","EQ","1,880.30","1,890.60","1,846.00","1,879.80","1,863.00","1,851.35","1,862.44","2,006.45","1,358.35","17,01,402","3,16,87,63,954.00","70,335"
"31-Jan-2025","EQ","1,871.00","1,897.45","1,871.00","1,859.95","1,882.95","1,879.80","1,881.49","2,006.45","1,358.35","58,20,470","10,95,11,49,690.20","1,81,998"
"30-Jan-2025","EQ","1,873.15","1,887.20","1,844.00","1,881.25","1,868.40","1,859.95","1,859.61","2,006.45","1,358.35","73,36,056","13,64,21,83,045.25","2,03,038"
"29-Jan-2025","EQ","1,845.00","1,888.65","1,840.50","1,829.75","1,877.55","1,881.25","1,867.04","2,006.45","1,358.35","51,45,155","9,60,61,85,635.05","2,08,458"
"28-Jan-2025","EQ","1,830.00","1,863.50","1,824.90","1,822.00","1,831.00","1,829.75","1,842.44","2,006.45","1,358.35","69,99,495","12,89,61,53,068.90","3,43,851"
"27-Jan-2025","EQ","1,848.75","1,863.00","1,812.00","1,875.45","1,823.00","1,822.00","1,838.09","2,006.45","1,358.35","76,52,371","14,06,57,47,508.90","2,42,782"
"24-Jan-2025","EQ","1,865.50","1,894.90","1,864.25","1,865.45","1,875.00","1,875.45","1,881.56","2,006.45","1,358.35","48,87,027","9,19,52,42,026.10","2,94,925"
"23-Jan-2025","EQ","1,858.00","1,879.55","1,852.70","1,856.45","1,864.80","1,865.45","1,868.88","2,006.45","1,358.35","59,07,471","11,04,03,65,439.10","3,05,255"
"22-Jan-2025","EQ","1,807.40","1,865.80","1,805.15","1,800.70","1,855.00","1,856.45","1,846.53","2,006.45","1,358.35","83,73,913","15,46,26,99,193.55","4,93,438"
"21-Jan-2025","EQ","1,819.05","1,831.65","1,793.05","1,813.30","1,804.00","1,800.70","1,814.25","2,006.45","1,358.35","71,69,109","13,00,65,82,697.55","2,52,390"
"20-Jan-2025","EQ","1,822.95","1,827.95","1,793.15","1,815.45","1,813.00","1,813.30","1,809.37","2,006.45","1,358.35","43,33,011","7,84,00,06,233.80","1,92,938"
"17-Jan-2025","EQ","1,851.00","1,858.00","1,812.00","1,928.45","1,817.50","1,815.45","1,824.17","2,006.45","1,358.35","1,64,09,953","29,93,46,01,377.85","5,03,030"
"16-Jan-2025","EQ","1,965.95","1,966.95","1,916.85","1,949.65","1,920.05","1,928.45","1,939.38","2,006.45","1,358.35","75,33,579","14,61,04,85,616.25","2,33,848"
"15-Jan-2025","EQ","1,947.00","1,958.05","1,937.10","1,940.05","1,951.65","1,949.65","1,949.16","2,006.45","1,358.35","29,85,439","5,81,90,96,239.50","1,53,629"
"14-Jan-2025","EQ","1,968.85","1,971.80","1,931.10","1,962.20","1,938.00","1,940.05","1,943.92","2,006.45","1,358.35","57,92,162","11,25,94,72,879.00","2,67,855"
"13-Jan-2025","EQ","1,956.00","1,982.80","1,949.00","1,966.95","1,963.00","1,962.20","1,965.87","2,006.45","1,358.35","58,04,152","11,41,01,82,349.85","2,24,017"
"10-Jan-2025","EQ","1,937.00","1,977.80","1,932.25","1,917.30","1,965.80","1,966.95","1,961.18","2,006.45","1,358.35","80,36,913","15,76,18,35,256.95","3,51,137"
"09-Jan-2025","EQ","1,934.05","1,951.85","1,910.55","1,933.15","1,920.10","1,917.30","1,928.12","2,006.45","1,358.35","68,33,503","13,17,58,34,552.90","2,28,829"
"08-Jan-2025","EQ","1,930.00","1,938.60","1,888.75","1,930.85","1,932.75","1,933.15","1,916.14","2,006.45","1,358.35","54,82,050","10,50,43,91,305.45","2,10,525"
"07-Jan-2025","EQ","1,945.00","1,958.55","1,923.65","1,937.85","1,929.00","1,930.85","1,936.28","2,006.45","1,358.35","42,94,832","8,31,59,96,332.75","2,50,125"
"06-Jan-2025","EQ","1,952.00","1,973.00","1,928.00","1,938.75","1,939.00","1,937.85","1,943.77","2,006.45","1,358.35","71,64,403","13,92,59,86,567.85","2,47,931"
"03-Jan-2025","EQ","1,952.95","1,952.95","1,922.00","1,957.85","1,939.10","1,938.75","1,936.53","2,006.45","1,358.35","62,18,003","12,04,13,66,929.80","2,26,724"
"02-Jan-2025","EQ","1,887.00","1,962.65","1,885.30","1,882.50","1,954.75","1,957.85","1,944.51","2,006.45","1,358.35","70,83,645","13,77,42,39,233.15","2,39,506"
"01-Jan-2025","EQ","1,874.00","1,892.95","1,874.00","1,880.00","1,885.00","1,882.50","1,884.95","2,006.45","1,358.35","18,38,368","3,46,52,23,831.85","69,020"
